order_num,order_type,cust_name,cust_state,prod_category,prod_number,prod_name,quantity,price,discount,order_total
1100993,Retail,Jaime Gilling,California,Robots,RS702,MICR-23K Robot,1,899.00,0.00,899.00
1100994,Wholesale,Zemlak Inc.,California,Drones,DS303,DTD-7000 Drone,8,450.00,90.00,3510.00
1100995,Wholesale,Romaguera LLC,Ohio,Robot Kits,RK603,BYOR-1500,22,189.00,37.80,4120.20
1100996,Wholesale,Koss Industries,Nevada,Blueprints,BP102,Bsquare Robot Blueprint,6,8.99,1.80,52.14
1100997,Wholesale,Boehm Inc.,Idaho,Blueprints,BP104,Cat Robot Blueprint,13,4.99,1.00,63.87
1100998,Retail,Luz O'Donoghue,Arizona,Training Videos,TV809,Understanding 3D Printing,1,42.99,0.00,42.99
1100999,Wholesale,Nolan Inc.,Massachusetts,Drone Kits,DK209,BYOD-550,89,179.00,35.80,15895.20
1101000,Retail,Paula Muller,Missouri,eBooks,EB513,Photograph Drones,1,14.99,0.00,14.99
1101001,Wholesale,Nikolaus LLC,Virginia,Drone Kits,DK209,BYOD-550,104,179.00,35.80,18580.20
1101002,Wholesale,Wolff LLC,South Carolina,Training Videos,TV808,Robotic Essentials,8,34.99,7.00,272.92
1101003,Retail,Caty Howler,Texas,Blueprints,BP102,Bsquare Robot Blueprint,1,8.99,0.00,8.99
1101004,Retail,Ilaire Selvester,North Carolina,Blueprints,BP106,Hexacopter Drone Blueprint,1,8.99,0.00,8.99
1101005,Retail,Ariadne Bohan,Texas,Training Videos,TV801,Aerial Security,1,36.99,0.00,36.99
1101006,Wholesale,Hilpert Industries,Minnesota,eBooks,EB509,GPS Drones,13,19.99,4.00,255.87
1101007,Wholesale,Kassulke-Schneider,Tennessee,eBooks,EB502,Building Your First Robot,3,24.95,4.99,69.86
1101008,Retail,Tamqrah Carrane,California,eBooks,EB507,Drone Building Essentials,1,13.99,0.00,13.99
1101009,Wholesale,Pixelford Photography,Indiana,Robot Kits,RK603,BYOR-1500,3,189.00,37.80,529.20
1101010,Retail,Staford Antoniak,Texas,Training Videos,TV804,Drone Video Techniques,1,37.99,0.00,37.99
1101011,Retail,Donielle Bumpass,New York,Training Videos,TV801,Aerial Security,1,36.99,0.00,36.99
1101012,Retail,Jody Neggrini,Alabama,Drone Kits,DK203,BYOD-220,1,69.00,0.00,69.00
1101013,Wholesale,Vandervort LLC,Ohio,Training Videos,TV813,Virtual Reality Basics,10,29.99,6.00,293.90
1101014,Retail,Elisabet Sproat,California,Robot Kits,RK605,BYOR-3000,1,214.00,0.00,214.00
1101015,Wholesale,Rosenbaum LLC,Alaska,Drones,DS306,DX-145 Drone,13,250.00,50.00,3200.00
1101016,Wholesale,Blick Inc.,Delaware,Drone Kits,DK204,BYOD-300,4,89.00,17.80,338.20
1101017,Retail,Chrisse Logesdale,Texas,Training Videos,TV808,Robotic Essentials,1,34.99,0.00,34.99
1101018,Wholesale,Daugherty Group,New Mexico,Robot Kits,RK602,BYOR-1000,44,189.00,37.80,8278.20
1101019,Wholesale,Thiel Group,Minnesota,Drone Kits,DK206,BYOD-400,67,119.00,23.80,7949.20
1101020,Retail,Kenny Decroix,Indiana,Blueprints,BP107,Ladybug Robot Blueprint,1,12.00,0.00,12.00
1101021,Retail,Courtenay Attle,Oregon,Robot Kits,RK603,BYOR-1500,2,189.00,0.00,378.00
1101022,Retail,Allyn Palatino,Nebraska,Training Videos,TV809,Understanding 3D Printing,1,42.99,0.00,42.99
1101023,Retail,Mellie Vasyatkin,Ohio,eBooks,EB507,Drone Building Essentials,1,13.99,0.00,13.99
1101024,Retail,Boycey Binford,Texas,eBooks,EB509,GPS Drones,1,19.99,0.00,19.99
1101025,Retail,Vernen Dodswell,Texas,Drones,DS306,DX-145 Drone,1,250.00,0.00,250.00
1101026,Wholesale,Harris Inc.,Oklahoma,Drone Kits,DK206,BYOD-400,8,119.00,23.80,928.20
1101027,Retail,Germaine Silk,New York,eBooks,EB507,Drone Building Essentials,1,13.99,0.00,13.99
1101028,Wholesale,Torp Inc.,Florida,eBooks,EB520,Understanding Arduino,9,17.50,3.50,154.00
1101029,Wholesale,Kuvalis Group,Ohio,Blueprints,BP109,QuadroCopter Blueprint ,7,10.99,2.20,74.73
1101030,Wholesale,Blue Sky Kites,Colorado,Training Videos,TV808,Robotic Essentials,10,34.99,7.00,342.90
1101031,Retail,Leopold Mallindine,Florida,eBooks,EB517,SCARA Robots,1,19.50,0.00,19.50
1101032,Wholesale,Streich LLC,Washington,eBooks,EB516,RTF Drones,10,16.99,3.40,166.50
1101033,Wholesale,Schaefer Inc.,Massachusetts,Robot Kits,RK603,BYOR-1500,29,189.00,37.80,5443.20
1101034,Retail,Hui Bashirian,South Carolina,Robots,RS702,MICR-23K Robot,1,899.00,0.00,899.00
1101035,Wholesale,Gottlieb-Jenkins,West Virginia,Drones,DS307,MICR-564K Drone,8,499.00,99.80,3892.20
1101036,Retail,David Powlowski,Connecticut,eBooks,EB509,GPS Drones,1,19.99,0.00,19.99
1101037,Wholesale,Cartwright LLC,Iowa,Blueprints,BP105,Creature Robot Arms Blueprint ,3,12.00,2.40,33.60
1101038,Wholesale,Wehner and Sons,California,eBooks,EB503,Building Your Own Drone,7,24.99,5.00,169.93
1101039,Wholesale,Stoltenberg LLC,New York,eBooks,EB507,Drone Building Essentials,10,13.99,2.80,137.10
1101040,Retail,Schiller LLC,Pennsylvania,Training Videos,TV805,Industrial 3D Printing ,3,49.00,0.00,147.00
1101041,Retail,Peg Claire,Florida,Drones,DS306,DX-145 Drone,1,250.00,0.00,250.00
1101042,Wholesale,Raynor LLC,Missouri,Drones,DS305,DTI-84 Drone,6,455.00,91.00,2639.00
1101043,Wholesale,O'Kon Inc.,Florida,Blueprints,BP106,Hexacopter Drone Blueprint,12,8.99,1.80,106.08
1101044,Wholesale,Kutch Inc.,Virginia,Training Videos,TV806,Mapping with Drones,18,49.00,9.80,872.20
1101045,Retail,Nat Lang,Missouri,Blueprints,BP109,QuadroCopter Blueprint ,1,10.99,0.00,10.99
1101046,Wholesale,LMD Resources,New Hampshire,Drone Kits,DK203,BYOD-220,5,69.00,13.80,331.20
1101047,Retail,Louis Rodriguez,Florida,Blueprints,BP107,Ladybug Robot Blueprint,1,12.00,0.00,12.00
1101048,Retail,Sallyann Simmank,California,Drone Kits,DK201,BYOD-100,1,54.00,0.00,54.00
1101049,Wholesale,Marvin Inc.,Kansas,Robot Kits,RK602,BYOR-1000,11,189.00,37.80,2041.20
1101050,Wholesale,Robel Inc.,Tennessee,Training Videos,TV803,Cloud Computing,5,29.99,6.00,143.95
1101051,Retail,Alaric Blanchard,Oklahoma,Blueprints,BP110,Sleepy Eye Blueprint,1,11.99,0.00,11.99
1101052,Wholesale,Yost LLC,Florida,eBooks,EB511,Helicopter Drones,81,20.95,4.19,1692.76
1101053,Wholesale,Bosco Group,South Carolina,Robot Kits,RK606,BYOR-3535,3,225.00,45.00,630.00
1101054,Retail,Tonni Schumm,Missouri,Drone Kits,DK201,BYOD-100,3,54.00,0.00,162.00
1101055,Wholesale,Jacobi LLC,Arizona,Drones,DS306,DX-145 Drone,6,250.00,50.00,1450.00
1101056,Wholesale,Rath LLC,Minnesota,eBooks,EB521,Understanding Artificial Intelligence,10,19.50,3.90,191.10
1101057,Retail,Sibyl Siret,Illinois,Robot Kits,RK603,BYOR-1500,1,189.00,0.00,189.00
1101058,Retail,Jessika Gaspard,Ohio,eBooks,EB520,Understanding Arduino,1,17.50,0.00,17.50
1101059,Retail,Giacobo Knightsbridge,Oregon,Robot Kits,RK603,BYOR-1500,1,189.00,0.00,189.00
1101060,Wholesale,Donnelly Group,Montana,Robot Kits,RK606,BYOR-3535,4,225.00,45.00,855.00
1101061,Wholesale,Bauch Group,Pennsylvania,eBooks,EB503,Building Your Own Drone,11,24.99,5.00,269.89
1101062,Wholesale,Blue Sky Kites,Colorado,Training Videos,TV806,Mapping with Drones,7,49.00,9.80,333.20
1101063,Wholesale,LMD Resources,New Hampshire,Blueprints,BP110,Upside Down Robot Blueprint,3,12.00,2.40,33.60
1101064,Retail,Kerluke Inc.,Utah,Drone Kits,DK204,BYOD-300,85,89.00,0.00,7565.00
1101065,Retail,Goober Louw,Ohio,Drones,DS301,DA-SA702 Drone,1,399.00,0.00,399.00
1101066,Retail,Gregory Sikora,Florida,eBooks,EB505,Delivery Drones,1,14.99,0.00,14.99
1101067,Retail,Hansiain Suttaby,North Carolina,eBooks,EB506,Delta Robots,1,16.99,0.00,16.99
1101068,Retail,Madalyn Dimnage,Illinois,eBooks,EB508,Fixed Wing Drones,1,15.50,0.00,15.50
1101069,Wholesale,Deckow Inc.,New York,eBooks,EB520,Understanding Arduino,3,17.50,3.50,49.00
1101070,Wholesale,Zoo Technologies,Hawaii,Blueprints,BP108,Panda Robot Blueprint,8,7.99,1.60,62.32
1101071,Wholesale,Donnelly Group,Montana,eBooks,EB501,Articulated Robots,9,23.99,4.80,211.11
1101072,Retail,Corey Flecknoe,Louisiana,Blueprints,BP109,QuadroCopter Blueprint ,1,10.99,0.00,10.99
1101073,Retail,Ellen Braun,North Carolina,Training Videos,TV808,Robotic Essentials,1,34.99,0.00,34.99
1101074,Retail,Romain Roston,Texas,Drone Kits,DK201,BYOD-100,1,54.00,0.00,54.00
1101075,Retail,Peter Grimes,Maine,Training Videos,TV806,Mapping with Drones,1,49.00,0.00,49.00
1101076,Wholesale,The Orn Company,Georgia,Drones,DS301,DA-SA702 Drone,7,399.00,79.80,2713.20
1101077,Wholesale,Balistreri Group,Tennessee,Drones,DS303,DTD-7000 Drone,8,450.00,90.00,3510.00
1101078,Wholesale,Wintheiser Inc.,Oregon,Training Videos,TV809,Understanding 3D Printing,6,42.99,8.60,249.34
1101079,Wholesale,Kuvalis Group,Ohio,Blueprints,BP110,Sleepy Eye Blueprint,32,11.99,2.40,381.28
1101080,Wholesale,Waelchi Inc.,New York,eBooks,EB521,Understanding Artificial Intelligence,6,19.50,3.90,113.10
1101081,Wholesale,Hamill Inc.,Florida,Training Videos,TV806,Mapping with Drones,3,49.00,9.80,137.20
1101082,Wholesale,Effertz LLC,Washington,eBooks,EB518,Single Rotor Drones,8,14.99,3.00,116.92
1101083,Retail,Myrilla Deehan,West Virginia,Robot Kits,RK603,BYOR-1500,1,189.00,0.00,189.00
1101084,Retail,Norry Colleymore,Tennessee,eBooks,EB521,Understanding Artificial Intelligence,1,19.50,0.00,19.50
1101085,Wholesale,Wintheiser Inc.,Oregon,Blueprints,BP108,Panda Robot Blueprint,10,7.99,1.60,78.30
1101086,Wholesale,Bashirian International,Illinois,eBooks,EB513,Photograph Drones,9,14.99,3.00,131.91
1101087,Retail,Timothy Weissnat,Alaska,eBooks,EB521,Understanding Artificial Intelligence,1,19.50,0.00,19.50
1101088,Wholesale,Cremin LLC,Colorado,Drones,DS302,DC-304 Drone,25,395.00,79.00,9796.00
1101089,Wholesale,Lehner Inc.,Tennessee,Blueprints,BP101,All Eyes Drone Blueprint,99,9.99,2.00,987.01
1101090,Wholesale,Herzog Group,California,Robot Kits,RK606,BYOR-3535,58,223.00,44.60,12889.40
1101091,Wholesale,Treutel Group,New York,Robots,RS707,RXW-9807 Robot,7,599.00,119.80,4073.20
1101092,Retail,Harriot Lempenny,Texas,Training Videos,TV812,Understanding Raspberry PI,1,28.99,0.00,28.99
1101093,Wholesale,Stroman Inc.,Pennsylvania,Training Videos,TV806,Mapping with Drones,10,49.00,9.80,480.20
1101094,Retail,Denis Whillock,Idaho,Robot Kits,RK603,BYOR-1500,1,189.00,0.00,189.00
1101095,Retail,Carree Weldon,California,Drones,DS303,DTD-7000 Drone,1,450.00,0.00,450.00
1101096,Wholesale,Lockman Group,Kansas,Blueprints,BP104,Cat Robot Blueprint,10,4.99,1.00,48.90
1101097,Wholesale,Volkman LLC,Maryland,eBooks,EB508,Fixed Wing Drones,9,15.50,3.10,136.40
1101098,Wholesale,Hammes Inc.,Michigan,Drone Kits,DK209,BYOD-550,3,179.00,35.80,501.20
1101099,Retail,Devin Tremblay,California,eBooks,EB509,GPS Drones,1,19.99,0.00,19.99
1101100,Retail,Roxi Foro,California,Drones,DS303,DTD-7000 Drone,1,450.00,0.00,450.00
1101101,Wholesale,Sauer AI Tech,Nevada,Training Videos,TV809,Understanding 3D Printing,10,42.99,8.60,421.30
1101102,Retail,Schiller LLC,Pennsylvania,eBooks,EB502,Building Your First Robot,60,24.95,0.00,1497.00
1101103,Wholesale,Feest Inc.,Indiana,eBooks,EB514,Polar Robots,4,23.99,4.80,91.16
1101104,Wholesale,Moore LLC,Indiana,Training Videos,TV807,Open Source Code,9,32.95,6.59,289.96
1101105,Retail,Caryn Callington,Texas,eBooks,EB508,Fixed Wing Drones,1,15.50,0.00,15.50
1101106,Retail,Reggie Gleason,Georgia,Blueprints,BP104,Cat Robot Blueprint,1,4.99,0.00,4.99
1101107,Wholesale,Metz Group,Delaware,eBooks,EB521,Understanding Artificial Intelligence,17,19.50,3.90,327.60
1101108,Wholesale,Stoltenberg LLC,New York,Robot Kits,RK606,BYOR-3535,7,224.00,44.80,1523.20
1101109,Wholesale,Schaefer Inc.,New Mexico,Drone Kits,DK208,BYOD-500,5,167.00,33.40,801.60
1101110,Wholesale,Frami LLC,Louisiana,Drone Kits,DK203,BYOD-220,8,69.00,13.80,538.20
1101111,Retail,Reina Heller,Minnesota,Robot Kits,RK602,BYOR-1000,3,189.00,0.00,567.00
1101112,Wholesale,Murazik Inc.,Arizona,Drone Kits,DK209,BYOD-550,12,179.00,35.80,2112.20
1101113,Retail,Linzy Guinery,California,Training Videos,TV802,AI for Educators,1,49.95,0.00,49.95
1101114,Retail,Cami Adlem,New Jersey,Robot Kits,RK605,BYOR-3000,1,214.00,0.00,214.00
1101115,Retail,Tamarra Brownlie,Illinois,Drones,DS302,DC-304 Drone,1,395.00,0.00,395.00
1101116,Retail,Margarethe Whates,Florida,Training Videos,TV809,Understanding 3D Printing,1,42.99,0.00,42.99
1101117,Retail,Irwin Rable,District of Columbia,Drone Kits,DK206,BYOD-400,1,119.00,0.00,119.00
1101118,Wholesale,Smith Technologies,New York,Blueprints,BP102,Bsquare Robot Blueprint,103,8.99,1.80,924.17
1101119,Wholesale,Bradtke Inc.,Washington,Drone Kits,DK204,BYOD-300,9,89.00,17.80,783.20
1101120,Wholesale,Smith Technologies,New York,Training Videos,TV813,Virtual Reality Basics,6,29.99,6.00,173.94
1101121,Wholesale,Blue Sky Kites,Colorado,Robot Kits,RK603,BYOR-1500,11,189.00,37.80,2041.20
1101122,Wholesale,Boehm Inc.,Idaho,Training Videos,TV811,Understanding Drone Regulations,3,27.50,5.50,77.00
1101123,Wholesale,Mohr Group,Louisiana,Robot Kits,RK603,BYOR-1500,6,189.00,37.80,1096.20
1101124,Wholesale,Kohler LLC,Georgia,Drones,DS306,DX-145 Drone,6,250.00,50.00,1450.00
1101125,Retail,Idaline Lagadu,Florida,eBooks,EB507,Drone Building Essentials,1,13.99,0.00,13.99
1101126,Retail,Kaylyn Stonner,New Mexico,Drone Kits,DK201,BYOD-100,1,54.00,0.00,54.00
1101127,Wholesale,Spinka LLC,Nevada,eBooks,EB509,GPS Drones,8,19.99,4.00,155.92
1101128,Wholesale,Gleason LLC,Louisiana,Drone Kits,DK209,BYOD-550,11,179.00,35.80,1933.20
1101129,Retail,Joanne Klein-Satterfield,Texas,Robot Kits,RK603,BYOR-1500,1,189.00,0.00,189.00
1101130,Wholesale,Waelchi Inc.,New York,eBooks,EB520,Understanding Arduino,3,17.50,3.50,49.00
1101131,Retail,Eldon Eloi,Massachusetts,Blueprints,BP110,Sleepy Eye Blueprint,1,11.99,0.00,11.99
1101132,Wholesale,Bradtke Inc.,Washington,eBooks,EB518,Single Rotor Drones,40,14.99,3.00,596.60
1101133,Retail,Tony Eichmann,California,Robots,RS705,RQTE-554 Robot,1,684.00,0.00,684.00
1101134,Wholesale,Romaguera LLC,Ohio,Blueprints,BP101,All Eyes Drone Blueprint,102,9.99,2.00,1016.98
1101135,Wholesale,Hessel LLC,Pennsylvania,eBooks,EB508,Fixed Wing Drones,7,15.50,3.10,105.40
1101136,Retail,Michelina Jennick,Iowa,eBooks,EB512,Multi Rotor Drones,1,24.95,0.00,24.95
1101137,Wholesale,Wyman Institute,Georgia,Robot Kits,RK602,BYOR-1000,10,189.00,37.80,1852.20
1101138,Wholesale,Romaguera LLC,Ohio,Drones,DS306,DX-145 Drone,4,250.00,50.00,950.00
1101139,Retail,Matty Sueter,California,eBooks,EB501,Articulated Robots,1,23.99,0.00,23.99
1101140,Retail,Danice Drains,California,eBooks,EB511,Helicopter Drones,1,20.95,0.00,20.95
1101141,Wholesale,Kuhn Group,Texas,Drone Kits,DK206,BYOD-400,72,119.00,23.80,8544.20
1101142,Retail,Rodi Conner,District of Columbia,eBooks,EB521,Understanding Artificial Intelligence,1,19.50,0.00,19.50
1101143,Wholesale,Kuvalis Group,Ohio,Robot Kits,RK607,BYOR-4005,10,245.00,49.00,2401.00
1101144,Retail,Jyoti Edgell,New York,eBooks,EB502,Building Your First Robot,1,24.95,0.00,24.95
1101145,Wholesale,D'Amore LLC,Pennsylvania,eBooks,EB509,GPS Drones,7,19.99,4.00,135.93
1101146,Wholesale,Murazik Inc.,Arizona,eBooks,EB508,Fixed Wing Drones,5,15.50,3.10,74.40
1101147,Wholesale,Marks Inc.,Texas,Blueprints,BP106,Hexacopter Drone Blueprint,4,8.99,1.80,34.16
1101148,Wholesale,Green-Shields,Minnesota,Robots,RS702,MICR-23K Robot,6,899.00,179.80,5214.20
1101149,Retail,Steph Cartwright,Florida,Robots,RS707,RXW-9807 Robot,1,599.00,0.00,599.00
1101150,Wholesale,Treutel Group,New York,Training Videos,TV813,Virtual Reality Basics,109,29.99,6.00,3262.91
1101151,Retail,Susan Thiel,Arizona,Drone Kits,DK204,BYOD-300,1,89.00,0.00,89.00
1101152,Wholesale,Koss Industries,Nevada,Robots,RS703,RCB-889 Robot,7,549.00,109.80,3733.20
1101153,Wholesale,Hahn-Hand,Massachusetts,Drones,DS307,MICR-564K Drone,6,499.00,99.80,2894.20
1101154,Wholesale,Sanford Group,Texas,Training Videos,TV802,AI for Educators,2,49.95,9.99,89.91
1101155,Wholesale,D'Amore LLC,Pennsylvania,Training Videos,TV806,Mapping with Drones,12,49.00,9.80,578.20
1101156,Retail,Greg Collier,North Carolina,eBooks,EB519,Spherical Robots,1,16.75,0.00,16.75
1101157,Wholesale,The Orn Company,Georgia,Training Videos,TV813,Virtual Reality Basics,20,29.99,6.00,593.80
1101158,Retail,Vern Hodkiewicz,Minnesota,Drones,DS306,DX-145 Drone,1,250.00,0.00,250.00
1101159,Retail,Sybila Grossier,Florida,Robot Kits,RK605,BYOR-3000,1,214.00,0.00,214.00
1101160,Wholesale,Murazik Inc.,Arizona,Training Videos,TV805,Industrial 3D Printing ,11,49.00,9.80,529.20
1101161,Wholesale,Grady Inc.,Florida,Blueprints,BP104,Cat Robot Blueprint,5,4.99,1.00,23.95
1101162,Retail,Pen Stockoe,Michigan,Training Videos,TV805,Industrial 3D Printing ,1,49.00,0.00,49.00
1101163,Wholesale,LMD Resources,New Hampshire,Drone Kits,DK203,BYOD-220,8,69.00,13.80,538.20
1101164,Retail,Denny Harvey-Moore,Texas,Training Videos,TV805,Industrial 3D Printing ,1,49.00,0.00,49.00
1101165,Retail,Gabriell Blamires,Texas,Blueprints,BP107,Ladybug Robot Blueprint,1,12.00,0.00,12.00
1101166,Wholesale,Ratke and Sons,North Carolina,Training Videos,TV802,AI for Educators,5,49.95,9.99,239.76
1101167,Retail,Bengt Ennew,California,eBooks,EB512,Multi Rotor Drones,1,24.95,0.00,24.95
1101168,Retail,Paul Goldner,Oregon,Robot Kits,RK606,BYOR-3535,4,224.00,0.00,896.00
1101169,Wholesale,Green-Shields,Minnesota,Training Videos,TV808,Robotic Essentials,10,34.99,7.00,342.90
1101170,Wholesale,Thompson Inc.,Massachusetts,Drone Kits,DK201,BYOD-100,99,54.00,10.80,5335.20
1101171,Wholesale,Wilderman Inc.,Kentucky,Blueprints,BP102,Bsquare Robot Blueprint,12,8.99,1.80,106.08
1101172,Wholesale,Stokes Electronics,New Hampshire,eBooks,EB506,Delta Robots,9,16.99,3.40,149.51
1101173,Retail,Resse Moen,Iowa,eBooks,EB511,Helicopter Drones,1,20.95,0.00,20.95
1101174,Retail,Alexis Armstrong,Ohio,eBooks,EB509,GPS Drones,1,19.99,0.00,19.99
1101175,Wholesale,Parker Group,Arizona,Robots,RS706,RWW-75 Robot,5,883.00,176.60,4238.40
1101176,Wholesale,Murphy LLC,Missouri,eBooks,EB508,Fixed Wing Drones,7,15.50,3.10,105.40
1101177,Wholesale,Crooks Group,Wisconsin,Training Videos,TV810,Understanding Automation,10,44.95,8.99,440.51
1101178,Wholesale,McCullough LLC,North Carolina,Drone Kits,DK201,BYOD-100,12,54.00,10.80,637.20
1101179,Retail,Salome Glashby,Arizona,eBooks,EB520,Understanding Arduino,1,17.50,0.00,17.50
